filename,detected,actual,error
SIMCEPImages_A01_C1_F1_s01_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s02_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s03_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s04_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s05_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s06_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s07_w2.TIF,3,1,2
SIMCEPImages_A01_C1_F1_s08_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s09_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s10_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s11_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s12_w2.TIF,2,1,1
SIMCEPImages_A01_C1_F1_s13_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s14_w2.TIF,2,1,1
SIMCEPImages_A01_C1_F1_s15_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s16_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s17_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s18_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s19_w2.TIF,2,1,1
SIMCEPImages_A01_C1_F1_s20_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s21_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s22_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s23_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s24_w2.TIF,1,1,0
SIMCEPImages_A01_C1_F1_s25_w2.TIF,1,1,0
SIMCEPImages_A02_C5_F1_s01_w2.TIF,6,5,1
SIMCEPImages_A02_C5_F1_s02_w2.TIF,6,5,1
SIMCEPImages_A02_C5_F1_s03_w2.TIF,5,5,0
SIMCEPImages_A02_C5_F1_s04_w2.TIF,6,5,1
SIMCEPImages_A02_C5_F1_s05_w2.TIF,5,5,0
SIMCEPImages_A02_C5_F1_s06_w2.TIF,6,5,1
SIMCEPImages_A02_C5_F1_s07_w2.TIF,6,5,1
SIMCEPImages_A02_C5_F1_s08_w2.TIF,7,5,2
SIMCEPImages_A02_C5_F1_s09_w2.TIF,6,5,1
SIMCEPImages_A02_C5_F1_s10_w2.TIF,5,5,0
SIMCEPImages_A02_C5_F1_s11_w2.TIF,6,5,1
SIMCEPImages_A02_C5_F1_s12_w2.TIF,6,5,1
SIMCEPImages_A02_C5_F1_s13_w2.TIF,5,5,0
SIMCEPImages_A02_C5_F1_s14_w2.TIF,5,5,0
SIMCEPImages_A02_C5_F1_s15_w2.TIF,8,5,3
SIMCEPImages_A02_C5_F1_s16_w2.TIF,8,5,3
SIMCEPImages_A02_C5_F1_s17_w2.TIF,6,5,1
SIMCEPImages_A02_C5_F1_s18_w2.TIF,5,5,0
SIMCEPImages_A02_C5_F1_s19_w2.TIF,5,5,0
SIMCEPImages_A02_C5_F1_s20_w2.TIF,5,5,0
SIMCEPImages_A02_C5_F1_s21_w2.TIF,5,5,0
SIMCEPImages_A02_C5_F1_s22_w2.TIF,7,5,2
SIMCEPImages_A02_C5_F1_s23_w2.TIF,7,5,2
SIMCEPImages_A02_C5_F1_s24_w2.TIF,6,5,1
SIMCEPImages_A02_C5_F1_s25_w2.TIF,5,5,0
SIMCEPImages_A03_C10_F1_s01_w2.TIF,12,10,2
SIMCEPImages_A03_C10_F1_s02_w2.TIF,11,10,1
SIMCEPImages_A03_C10_F1_s03_w2.TIF,18,10,8
SIMCEPImages_A03_C10_F1_s04_w2.TIF,11,10,1
SIMCEPImages_A03_C10_F1_s05_w2.TIF,12,10,2
SIMCEPImages_A03_C10_F1_s06_w2.TIF,16,10,6
SIMCEPImages_A03_C10_F1_s07_w2.TIF,13,10,3
SIMCEPImages_A03_C10_F1_s08_w2.TIF,12,10,2
SIMCEPImages_A03_C10_F1_s09_w2.TIF,11,10,1
SIMCEPImages_A03_C10_F1_s10_w2.TIF,11,10,1
SIMCEPImages_A03_C10_F1_s11_w2.TIF,11,10,1
SIMCEPImages_A03_C10_F1_s12_w2.TIF,13,10,3
SIMCEPImages_A03_C10_F1_s13_w2.TIF,15,10,5
SIMCEPImages_A03_C10_F1_s14_w2.TIF,10,10,0
SIMCEPImages_A03_C10_F1_s15_w2.TIF,10,10,0
SIMCEPImages_A03_C10_F1_s16_w2.TIF,10,10,0
SIMCEPImages_A03_C10_F1_s17_w2.TIF,14,10,4
SIMCEPImages_A03_C10_F1_s18_w2.TIF,17,10,7
SIMCEPImages_A03_C10_F1_s19_w2.TIF,9,10,-1
SIMCEPImages_A03_C10_F1_s20_w2.TIF,18,10,8
SIMCEPImages_A03_C10_F1_s21_w2.TIF,14,10,4
SIMCEPImages_A03_C10_F1_s22_w2.TIF,19,10,9
SIMCEPImages_A03_C10_F1_s23_w2.TIF,13,10,3
SIMCEPImages_A03_C10_F1_s24_w2.TIF,14,10,4
SIMCEPImages_A03_C10_F1_s25_w2.TIF,14,10,4
SIMCEPImages_A04_C14_F1_s01_w2.TIF,15,14,1
SIMCEPImages_A04_C14_F1_s02_w2.TIF,15,14,1
SIMCEPImages_A04_C14_F1_s03_w2.TIF,21,14,7
SIMCEPImages_A04_C14_F1_s04_w2.TIF,18,14,4
SIMCEPImages_A04_C14_F1_s05_w2.TIF,18,14,4
SIMCEPImages_A04_C14_F1_s06_w2.TIF,19,14,5
SIMCEPImages_A04_C14_F1_s07_w2.TIF,18,14,4
SIMCEPImages_A04_C14_F1_s08_w2.TIF,19,14,5
SIMCEPImages_A04_C14_F1_s09_w2.TIF,20,14,6
SIMCEPImages_A04_C14_F1_s10_w2.TIF,19,14,5
SIMCEPImages_A04_C14_F1_s11_w2.TIF,20,14,6
SIMCEPImages_A04_C14_F1_s12_w2.TIF,18,14,4
SIMCEPImages_A04_C14_F1_s13_w2.TIF,15,14,1
SIMCEPImages_A04_C14_F1_s14_w2.TIF,16,14,2
SIMCEPImages_A04_C14_F1_s15_w2.TIF,17,14,3
SIMCEPImages_A04_C14_F1_s16_w2.TIF,18,14,4
SIMCEPImages_A04_C14_F1_s17_w2.TIF,21,14,7
SIMCEPImages_A04_C14_F1_s18_w2.TIF,16,14,2
SIMCEPImages_A04_C14_F1_s19_w2.TIF,22,14,8
SIMCEPImages_A04_C14_F1_s20_w2.TIF,14,14,0
SIMCEPImages_A04_C14_F1_s21_w2.TIF,17,14,3
SIMCEPImages_A04_C14_F1_s22_w2.TIF,16,14,2
SIMCEPImages_A04_C14_F1_s23_w2.TIF,16,14,2
SIMCEPImages_A04_C14_F1_s24_w2.TIF,17,14,3
SIMCEPImages_A04_C14_F1_s25_w2.TIF,15,14,1
SIMCEPImages_A05_C18_F1_s01_w2.TIF,30,18,12
SIMCEPImages_A05_C18_F1_s02_w2.TIF,19,18,1
SIMCEPImages_A05_C18_F1_s03_w2.TIF,21,18,3
SIMCEPImages_A05_C18_F1_s04_w2.TIF,25,18,7
SIMCEPImages_A05_C18_F1_s05_w2.TIF,23,18,5
SIMCEPImages_A05_C18_F1_s06_w2.TIF,21,18,3
SIMCEPImages_A05_C18_F1_s07_w2.TIF,23,18,5
SIMCEPImages_A05_C18_F1_s08_w2.TIF,20,18,2
SIMCEPImages_A05_C18_F1_s09_w2.TIF,22,18,4
SIMCEPImages_A05_C18_F1_s10_w2.TIF,29,18,11
SIMCEPImages_A05_C18_F1_s11_w2.TIF,24,18,6
SIMCEPImages_A05_C18_F1_s12_w2.TIF,25,18,7
SIMCEPImages_A05_C18_F1_s13_w2.TIF,29,18,11
SIMCEPImages_A05_C18_F1_s14_w2.TIF,24,18,6
SIMCEPImages_A05_C18_F1_s15_w2.TIF,24,18,6
SIMCEPImages_A05_C18_F1_s16_w2.TIF,23,18,5
SIMCEPImages_A05_C18_F1_s17_w2.TIF,25,18,7
SIMCEPImages_A05_C18_F1_s18_w2.TIF,24,18,6
SIMCEPImages_A05_C18_F1_s19_w2.TIF,26,18,8
SIMCEPImages_A05_C18_F1_s20_w2.TIF,23,18,5
SIMCEPImages_A05_C18_F1_s21_w2.TIF,24,18,6
SIMCEPImages_A05_C18_F1_s22_w2.TIF,22,18,4
SIMCEPImages_A05_C18_F1_s23_w2.TIF,26,18,8
SIMCEPImages_A05_C18_F1_s24_w2.TIF,22,18,4
SIMCEPImages_A05_C18_F1_s25_w2.TIF,24,18,6
SIMCEPImages_A06_C23_F1_s01_w2.TIF,35,23,12
SIMCEPImages_A06_C23_F1_s02_w2.TIF,27,23,4
SIMCEPImages_A06_C23_F1_s03_w2.TIF,22,23,-1
SIMCEPImages_A06_C23_F1_s04_w2.TIF,25,23,2
SIMCEPImages_A06_C23_F1_s05_w2.TIF,26,23,3
SIMCEPImages_A06_C23_F1_s06_w2.TIF,29,23,6
SIMCEPImages_A06_C23_F1_s07_w2.TIF,26,23,3
